id,relative_path,filename,containing_directory,folder_artist_guess,tag_artist,tag_album_artist,tag_album,tag_title,tag_track_number,tag_disc_number,tag_year,tag_genre,metadata_status,confidence,reason
16,iTunes/2Pac/2Pac_ Greatest Hits/2-05 Changes.m4a,2-05 Changes.m4a,2Pac_ Greatest Hits,2Pac,2Pac & Talent,2Pac,2Pac: Greatest Hits,Changes,5/13,2/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
17,iTunes/2Pac/2Pac_ Greatest Hits/2-10 Dear Mama.m4a,2-10 Dear Mama.m4a,2Pac_ Greatest Hits,2Pac,2Pac,2Pac,2Pac: Greatest Hits,Dear Mama,10/13,2/2,1998-11-24T12:00:00Z,Hip-Hop/Rap,confirmed,1.0,album_artist matches folder artist guess
22,iTunes/ADELE/19/01 Daydreamer.m4a,01 Daydreamer.m4a,19,ADELE,ADELE,ADELE,19,Daydreamer,1/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
23,iTunes/ADELE/19/02 Best for Last.m4a,02 Best for Last.m4a,19,ADELE,ADELE,ADELE,19,Best for Last,2/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
24,iTunes/ADELE/19/03 Chasing Pavements.m4a,03 Chasing Pavements.m4a,19,ADELE,ADELE,ADELE,19,Chasing Pavements,3/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
25,iTunes/ADELE/19/04 Cold Shoulder.m4a,04 Cold Shoulder.m4a,19,ADELE,ADELE,ADELE,19,Cold Shoulder,4/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
26,iTunes/ADELE/19/05 Crazy for You.m4a,05 Crazy for You.m4a,19,ADELE,ADELE,ADELE,19,Crazy for You,5/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
27,iTunes/ADELE/19/06 Melt My Heart to Stone.m4a,06 Melt My Heart to Stone.m4a,19,ADELE,ADELE,ADELE,19,Melt My Heart to Stone,6/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
28,iTunes/ADELE/19/07 First Love.m4a,07 First Love.m4a,19,ADELE,ADELE,ADELE,19,First Love,7/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
29,iTunes/ADELE/19/08 Right as Rain.m4a,08 Right as Rain.m4a,19,ADELE,ADELE,ADELE,19,Right as Rain,8/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
30,iTunes/ADELE/19/09 Make You Feel My Love.m4a,09 Make You Feel My Love.m4a,19,ADELE,ADELE,ADELE,19,Make You Feel My Love,9/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
31,iTunes/ADELE/19/10 My Same.m4a,10 My Same.m4a,19,ADELE,ADELE,ADELE,19,My Same,10/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
32,iTunes/ADELE/19/11 Tired.m4a,11 Tired.m4a,19,ADELE,ADELE,ADELE,19,Tired,11/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
33,iTunes/ADELE/19/12 Hometown Glory.m4a,12 Hometown Glory.m4a,19,ADELE,ADELE,ADELE,19,Hometown Glory,12/12,1/1,2008-06-10T07:00:00Z,Pop,confirmed,1.0,album_artist matches folder artist guess
40,iTunes/Aerosmith/A Little South Of Sanity (Disc 2)/2-05 Dream On.m4a,2-05 Dream On.m4a,A Little South Of Sanity (Disc 2),Aerosmith,Aerosmith,,A Little South Of Sanity (Disc 2),Dream On,5/11,2/2,1998,Rock,confirmed,0.98,artist tag matches folder artist guess
41,iTunes/Aerosmith/A Little South Of Sanity (Disc 2)/2-06 Crazy.m4a,2-06 Crazy.m4a,A Little South Of Sanity (Disc 2),Aerosmith,Aerosmith,,A Little South Of Sanity (Disc 2),Crazy,6/11,2/2,1998,Rock,confirmed,0.98,artist tag matches folder artist guess
42,iTunes/Aerosmith/A Little South Of Sanity (Disc 2)/2-11 Sweet Emotion.m4a,2-11 Sweet Emotion.m4a,A Little South Of Sanity (Disc 2),Aerosmith,Aerosmith,,A Little South Of Sanity (Disc 2),Sweet Emotion,11/11,2/2,1998,Rock,confirmed,0.98,artist tag matches folder artist guess
35,iTunes/Aerosmith/A Little South Of Sanity/1-08 Cryin'.m4a,1-08 Cryin'.m4a,A Little South Of Sanity,Aerosmith,Aerosmith,,A Little South Of Sanity,Cryin',8/12,1/2,1998,Rock,confirmed,0.98,artist tag matches folder artist guess
36,iTunes/Aerosmith/A Little South Of Sanity/1-09 Rag Doll.m4a,1-09 Rag Doll.m4a,A Little South Of Sanity,Aerosmith,Aerosmith,,A Little South Of Sanity,Rag Doll,9/12,1/2,1998,Rock,confirmed,0.98,artist tag matches folder artist guess
37,iTunes/Aerosmith/A Little South Of Sanity/1-10 Angel.m4a,1-10 Angel.m4a,A Little South Of Sanity,Aerosmith,Aerosmith,,A Little South Of Sanity,Angel,10/12,1/2,1998,Rock,confirmed,0.98,artist tag matches folder artist guess
38,iTunes/Aerosmith/A Little South Of Sanity/1-11 Janie's Got A Gun.m4a,1-11 Janie's Got A Gun.m4a,A Little South Of Sanity,Aerosmith,Aerosmith,,A Little South Of Sanity,Janie's Got A Gun,11/12,1/2,1998,Rock,confirmed,0.98,artist tag matches folder artist guess
39,iTunes/Aerosmith/A Little South Of Sanity/1-12 Amazing.m4a,1-12 Amazing.m4a,A Little South Of Sanity,Aerosmith,Aerosmith,,A Little South Of Sanity,Amazing,12/12,1/2,1998,Rock,confirmed,0.98,artist tag matches folder artist guess
43,iTunes/Aerosmith/Nine Lives/11 Pink.m4a,11 Pink.m4a,Nine Lives,Aerosmith,Aerosmith,,Nine Lives,Pink,11/13,1/1,1997,Rock,confirmed,0.98,artist tag matches folder artist guess
44,iTunes/Aerosmith/Pandora's Box (Disc 1)/1-07 Same Old Song And Dance.m4a,1-07 Same Old Song And Dance.m4a,Pandora's Box (Disc 1),Aerosmith,Aerosmith,,Pandora's Box (Disc 1),Same Old Song And Dance,7/15,1/3,1974,Rock,confirmed,0.98,artist tag matches folder artist guess
45,iTunes/Aerosmith/Pandora's Box (Disc 2)/2-01 Toys In The Attic.m4a,2-01 Toys In The Attic.m4a,Pandora's Box (Disc 2),Aerosmith,Aerosmith,,Pandora's Box (Disc 2),Toys In The Attic,1/18,2/3,1975,Rock,confirmed,0.98,artist tag matches folder artist guess
46,iTunes/Aerosmith/Pandora's Box (Disc 2)/2-11 Last Child.m4a,2-11 Last Child.m4a,Pandora's Box (Disc 2),Aerosmith,Aerosmith,,Pandora's Box (Disc 2),Last Child,11/18,2/3,1976,Rock,confirmed,0.98,artist tag matches folder artist guess
47,iTunes/Aerosmith/Pandora's Box (Disc 2)/2-17 Draw The Line.m4a,2-17 Draw The Line.m4a,Pandora's Box (Disc 2),Aerosmith,Aerosmith,,Pandora's Box (Disc 2),Draw The Line,17/18,2/3,1977,Rock,confirmed,0.98,artist tag matches folder artist guess
48,iTunes/Aerosmith/Pandora's Box (Disc 3)/3-01 Kings And Queens (Live).m4a,3-01 Kings And Queens (Live).m4a,Pandora's Box (Disc 3),Aerosmith,Aerosmith,,Pandora's Box (Disc 3),Kings And Queens (Live),1/20,3/3,1991,Rock,confirmed,0.98,artist tag matches folder artist guess
49,iTunes/Aerosmith/Pandora's Box (Disc 3)/3-09 Come Together.m4a,3-09 Come Together.m4a,Pandora's Box (Disc 3),Aerosmith,Aerosmith,,Pandora's Box (Disc 3),Come Together,9/20,3/3,1991,Rock,confirmed,0.98,artist tag matches folder artist guess
50,iTunes/Aerosmith/Pandora's Box (Disc 3)/3-19 Back In The Saddle.m4a,3-19 Back In The Saddle.m4a,Pandora's Box (Disc 3),Aerosmith,Aerosmith,,Pandora's Box (Disc 3),Back In The Saddle,19/20,3/3,1991,Rock,confirmed,0.98,artist tag matches folder artist guess
51,iTunes/Aerosmith/Permanent Vacation/07 Hangman Jury.m4a,07 Hangman Jury.m4a,Permanent Vacation,Aerosmith,Aerosmith,,Permanent Vacation,Hangman Jury,7/12,1/1,1987,Rock,confirmed,0.98,artist tag matches folder artist guess
52,iTunes/Aerosmith/Permanent Vacation/10 Permanent Vacation.m4a,10 Permanent Vacation.m4a,Permanent Vacation,Aerosmith,Aerosmith,,Permanent Vacation,Permanent Vacation,10/12,1/1,1987,Rock,confirmed,0.98,artist tag matches folder artist guess
53,iTunes/Aerosmith/Pump/02 F.I.N.E..m4a,02 F.I.N.E..m4a,Pump,Aerosmith,Aerosmith,,Pump,F.I.N.E.,2/10,1/1,1989,Rock,confirmed,0.98,artist tag matches folder artist guess
54,iTunes/Aerosmith/Pump/06 Dulcimer Stomp_The Other Side.m4a,06 Dulcimer Stomp_The Other Side.m4a,Pump,Aerosmith,Aerosmith,,Pump,Dulcimer Stomp/The Other Side,6/10,1/1,1989,Rock,confirmed,0.98,artist tag matches folder artist guess
55,iTunes/Aerosmith/Pump/07 My Girl.m4a,07 My Girl.m4a,Pump,Aerosmith,Aerosmith,,Pump,My Girl,7/10,1/1,1989,Rock,confirmed,0.98,artist tag matches folder artist guess
56,"iTunes/Aerosmith/Pump/08 Don't Get Mad, Get Even.m4a","08 Don't Get Mad, Get Even.m4a",Pump,Aerosmith,Aerosmith,,Pump,"Don't Get Mad, Get Even",8/10,1/1,1989,Rock,confirmed,0.98,artist tag matches folder artist guess
57,iTunes/Aerosmith/Pump/10 What It Takes.m4a,10 What It Takes.m4a,Pump,Aerosmith,Aerosmith,,Pump,What It Takes,10/10,1/1,1989,Rock,confirmed,0.98,artist tag matches folder artist guess
58,iTunes/Aerosmith/Young Lust [Disc 1]/1-01 Eat The Rich.m4a,1-01 Eat The Rich.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Eat The Rich,1/17,1/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
59,iTunes/Aerosmith/Young Lust [Disc 1]/1-02 Love Me Two Times.m4a,1-02 Love Me Two Times.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Love Me Two Times,2/17,1/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
60,iTunes/Aerosmith/Young Lust [Disc 1]/1-04 Livin' On The Edge [Acoustic Ve.m4a,1-04 Livin' On The Edge [Acoustic Ve.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Livin' On The Edge [Acoustic Version],4/17,1/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
61,iTunes/Aerosmith/Young Lust [Disc 1]/1-07 Amazing [Orchestral Version].m4a,1-07 Amazing [Orchestral Version].m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Amazing [Orchestral Version],7/17,1/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
62,iTunes/Aerosmith/Young Lust [Disc 1]/1-08 Cryin'.m4a,1-08 Cryin'.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Cryin',8/17,1/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
63,iTunes/Aerosmith/Young Lust [Disc 1]/1-09 Crazy.m4a,1-09 Crazy.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Crazy,9/17,1/2,1992,Rock,confirmed,0.98,artist tag matches folder artist guess
64,iTunes/Aerosmith/Young Lust [Disc 1]/1-10 Shut Up And Dance.m4a,1-10 Shut Up And Dance.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Shut Up And Dance,10/17,1/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
65,iTunes/Aerosmith/Young Lust [Disc 1]/1-11 Deuces Are Wild.m4a,1-11 Deuces Are Wild.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Deuces Are Wild,11/17,1/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
66,iTunes/Aerosmith/Young Lust [Disc 1]/1-12 Walk On Water.m4a,1-12 Walk On Water.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Walk On Water,12/17,1/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
67,iTunes/Aerosmith/Young Lust [Disc 1]/1-13 Blind Man.m4a,1-13 Blind Man.m4a,Young Lust [Disc 1],Aerosmith,Aerosmith,,Young Lust [Disc 1],Blind Man,13/17,1/2,1994,Rock,confirmed,0.98,artist tag matches folder artist guess
68,iTunes/Aerosmith/Young Lust [Disc 2]/2-01 Let The Music Do The Talking.m4a,2-01 Let The Music Do The Talking.m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],Let The Music Do The Talking,1/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
69,iTunes/Aerosmith/Young Lust [Disc 2]/2-02 My Fist Your Face.m4a,2-02 My Fist Your Face.m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],My Fist Your Face,2/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
70,iTunes/Aerosmith/Young Lust [Disc 2]/2-03 Shame On You.m4a,2-03 Shame On You.m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],Shame On You,3/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
71,iTunes/Aerosmith/Young Lust [Disc 2]/2-04 Heart's Done Time.m4a,2-04 Heart's Done Time.m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],Heart's Done Time,4/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
72,iTunes/Aerosmith/Young Lust [Disc 2]/2-05 Rag Doll.m4a,2-05 Rag Doll.m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],Rag Doll,5/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
73,iTunes/Aerosmith/Young Lust [Disc 2]/2-06 Dude (Looks Like A Lady).m4a,2-06 Dude (Looks Like A Lady).m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],Dude (Looks Like A Lady),6/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
74,iTunes/Aerosmith/Young Lust [Disc 2]/2-07 Angel.m4a,2-07 Angel.m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],Angel,7/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
75,iTunes/Aerosmith/Young Lust [Disc 2]/2-10 Young Lust.m4a,2-10 Young Lust.m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],Young Lust,10/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
76,iTunes/Aerosmith/Young Lust [Disc 2]/2-11 The Other Side.m4a,2-11 The Other Side.m4a,Young Lust [Disc 2],Aerosmith,Aerosmith,,Young Lust [Disc 2],The Other Side,11/17,2/2,2001,Rock,confirmed,0.98,artist tag matches folder artist guess
604,iTunes/Anita Baker/The Best Of Anita Baker/04 Sweet Love.m4a,04 Sweet Love.m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,Sweet Love,4/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
605,iTunes/Anita Baker/The Best Of Anita Baker/05 Caught Up In The Rapture.m4a,05 Caught Up In The Rapture.m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,Caught Up In The Rapture,5/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
606,iTunes/Anita Baker/The Best Of Anita Baker/07 Same Ole Love (365 Days A Year).m4a,07 Same Ole Love (365 Days A Year).m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,Same Ole Love (365 Days A Year),7/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
607,iTunes/Anita Baker/The Best Of Anita Baker/08 No One In The World.m4a,08 No One In The World.m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,No One In The World,8/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
608,iTunes/Anita Baker/The Best Of Anita Baker/10 Giving You The Best That I Got.m4a,10 Giving You The Best That I Got.m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,Giving You The Best That I Got,10/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
609,iTunes/Anita Baker/The Best Of Anita Baker/11 Good Love.m4a,11 Good Love.m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,Good Love,11/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
610,iTunes/Anita Baker/The Best Of Anita Baker/12 Just Because.m4a,12 Just Because.m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,Just Because,12/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
611,iTunes/Anita Baker/The Best Of Anita Baker/16 Body And Soul.m4a,16 Body And Soul.m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,Body And Soul,16/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
612,iTunes/Anita Baker/The Best Of Anita Baker/17 I Apologize.m4a,17 I Apologize.m4a,The Best Of Anita Baker,Anita Baker,Anita Baker,,The Best Of Anita Baker,I Apologize,17/18,1/1,2002,R&B,confirmed,0.98,artist tag matches folder artist guess
613,iTunes/AnnaGrace/Let the Feelings Go/01 Let the Feelings Go (Radio Edit).m4a,01 Let the Feelings Go (Radio Edit).m4a,Let the Feelings Go,AnnaGrace,AnnaGrace,AnnaGrace,Let the Feelings Go,Let the Feelings Go (Radio Edit),1/6,1/1,2009-04-28T07:00:00Z,Dance,confirmed,1.0,album_artist matches folder artist guess
617,iTunes/Ashlee Simpson/Autobiography/02 Pieces Of Me.m4a,02 Pieces Of Me.m4a,Autobiography,Ashlee Simpson,Ashlee Simpson,,Autobiography,Pieces Of Me,2/12,1/1,2004,Pop,confirmed,0.98,artist tag matches folder artist guess
618,iTunes/Ashlee Simpson/Autobiography/04 La La.m4a,04 La La.m4a,Autobiography,Ashlee Simpson,Ashlee Simpson,,Autobiography,La La,4/12,1/1,2004,Pop,confirmed,0.98,artist tag matches folder artist guess
619,iTunes/Az Yet/Az Yet/01 Last Night.m4a,01 Last Night.m4a,Az Yet,Az Yet,Az Yet,,Az Yet,Last Night,1/12,1/1,1996,R&B,confirmed,0.98,artist tag matches folder artist guess
620,iTunes/Az Yet/Az Yet/05 Hard To Say I'm Sorry.m4a,05 Hard To Say I'm Sorry.m4a,Az Yet,Az Yet,Az Yet,,Az Yet,Hard To Say I'm Sorry,5/12,1/1,1996,R&B,confirmed,0.98,artist tag matches folder artist guess
623,iTunes/Beatles/Unknown Album/01 Love me do.m4a,01 Love me do.m4a,Unknown Album,Beatles,Beatles,,,Love me do,1/27,,,,confirmed,0.98,artist tag matches folder artist guess
624,iTunes/Beatles/Unknown Album/02 from me to you.m4a,02 from me to you.m4a,Unknown Album,Beatles,Beatles,,,from me to you,2/27,,,,confirmed,0.98,artist tag matches folder artist guess
625,iTunes/Beatles/Unknown Album/03 she loves you.m4a,03 she loves you.m4a,Unknown Album,Beatles,Beatles,,,she loves you,3/27,,,,confirmed,0.98,artist tag matches folder artist guess
626,iTunes/Beatles/Unknown Album/04 i want to hold your hand.m4a,04 i want to hold your hand.m4a,Unknown Album,Beatles,Beatles,,,i want to hold your hand,4/27,,,,confirmed,0.98,artist tag matches folder artist guess
627,iTunes/Beatles/Unknown Album/05 can't buy me love.m4a,05 can't buy me love.m4a,Unknown Album,Beatles,Beatles,,,can't buy me love,5/27,,,,confirmed,0.98,artist tag matches folder artist guess
628,iTunes/Beatles/Unknown Album/06 a hard day's night.m4a,06 a hard day's night.m4a,Unknown Album,Beatles,Beatles,,,a hard day's night,6/27,,,,confirmed,0.98,artist tag matches folder artist guess
629,iTunes/Beatles/Unknown Album/07 I feel fine.m4a,07 I feel fine.m4a,Unknown Album,Beatles,Beatles,,,I feel fine,7/27,,,,confirmed,0.98,artist tag matches folder artist guess
630,iTunes/Beatles/Unknown Album/08 eight days a week.m4a,08 eight days a week.m4a,Unknown Album,Beatles,Beatles,,,eight days a week,8/27,,,,confirmed,0.98,artist tag matches folder artist guess
631,iTunes/Beatles/Unknown Album/09 ticket to ride.m4a,09 ticket to ride.m4a,Unknown Album,Beatles,Beatles,,,ticket to ride,9/27,,,,confirmed,0.98,artist tag matches folder artist guess
632,iTunes/Beatles/Unknown Album/10 help!.m4a,10 help!.m4a,Unknown Album,Beatles,Beatles,,,help!,10/27,,,,confirmed,0.98,artist tag matches folder artist guess
633,iTunes/Beatles/Unknown Album/11 yesterday.m4a,11 yesterday.m4a,Unknown Album,Beatles,Beatles,,,yesterday,11/27,,,,confirmed,0.98,artist tag matches folder artist guess
634,iTunes/Beatles/Unknown Album/12 daytripper.m4a,12 daytripper.m4a,Unknown Album,Beatles,Beatles,,,daytripper,12/27,,,,confirmed,0.98,artist tag matches folder artist guess
635,iTunes/Beatles/Unknown Album/13 we can work it out.m4a,13 we can work it out.m4a,Unknown Album,Beatles,Beatles,,,we can work it out,13/27,,,,confirmed,0.98,artist tag matches folder artist guess
636,iTunes/Beatles/Unknown Album/14 paperback writer.m4a,14 paperback writer.m4a,Unknown Album,Beatles,Beatles,,,paperback writer,14/27,,,,confirmed,0.98,artist tag matches folder artist guess
637,iTunes/Beatles/Unknown Album/15 yellow submarine.m4a,15 yellow submarine.m4a,Unknown Album,Beatles,Beatles,,,yellow submarine,15/27,,,,confirmed,0.98,artist tag matches folder artist guess
638,iTunes/Beatles/Unknown Album/16 elanor rigby.m4a,16 elanor rigby.m4a,Unknown Album,Beatles,Beatles,,,elanor rigby,16/27,,,,confirmed,0.98,artist tag matches folder artist guess
639,iTunes/Beatles/Unknown Album/17 penny lane.m4a,17 penny lane.m4a,Unknown Album,Beatles,Beatles,,,penny lane,17/27,,,,confirmed,0.98,artist tag matches folder artist guess
640,iTunes/Beatles/Unknown Album/18 all you need is love.m4a,18 all you need is love.m4a,Unknown Album,Beatles,Beatles,,,all you need is love,18/27,,,,confirmed,0.98,artist tag matches folder artist guess
641,iTunes/Beatles/Unknown Album/19 hello goodbye.m4a,19 hello goodbye.m4a,Unknown Album,Beatles,Beatles,,,hello goodbye,19/27,,,,confirmed,0.98,artist tag matches folder artist guess
642,iTunes/Beatles/Unknown Album/20 lady madonna.m4a,20 lady madonna.m4a,Unknown Album,Beatles,Beatles,,,lady madonna,20/27,,,,confirmed,0.98,artist tag matches folder artist guess
643,iTunes/Beatles/Unknown Album/21 hey jude.m4a,21 hey jude.m4a,Unknown Album,Beatles,Beatles,,,hey jude,21/27,,,,confirmed,0.98,artist tag matches folder artist guess
644,iTunes/Beatles/Unknown Album/22 get back.m4a,22 get back.m4a,Unknown Album,Beatles,Beatles,,,get back,22/27,,,,confirmed,0.98,artist tag matches folder artist guess
645,iTunes/Beatles/Unknown Album/23 the ballad of john and yoko.m4a,23 the ballad of john and yoko.m4a,Unknown Album,Beatles,Beatles,,,the ballad of john and yoko,23/27,,,,confirmed,0.98,artist tag matches folder artist guess
646,iTunes/Beatles/Unknown Album/24 something.m4a,24 something.m4a,Unknown Album,Beatles,Beatles,,,something,24/27,,,,confirmed,0.98,artist tag matches folder artist guess
647,iTunes/Beatles/Unknown Album/25 come together.m4a,25 come together.m4a,Unknown Album,Beatles,Beatles,,,come together,25/27,,,,confirmed,0.98,artist tag matches folder artist guess
648,iTunes/Beatles/Unknown Album/26 let it be.m4a,26 let it be.m4a,Unknown Album,Beatles,Beatles,,,let it be,26/27,,,,confirmed,0.98,artist tag matches folder artist guess
649,iTunes/Beatles/Unknown Album/27 the long and winding road.m4a,27 the long and winding road.m4a,Unknown Album,Beatles,Beatles,,,the long and winding road,27/27,,,,confirmed,0.98,artist tag matches folder artist guess
